date,shelter_city,sector,total_occupancy,total_capacity
2017-04-15,Toronto,women,2054,1183
2017-04-15,Toronto,men,2082,1528
2017-04-15,Toronto,youth,1688,1094
2017-04-15,Toronto,co-ed,2577,1841
2017-04-15,Toronto,family,2056,1652
2017-04-15,North York,women,1598,1995
2017-04-15,North York,men,1003,1228
2017-04-15,North York,youth,1513,1788
2017-04-15,North York,co-ed,2121,1972
2017-04-15,North York,family,1931,2295
2017-04-15,Scarborough,women,353,893
2017-04-15,Scarborough,men,946,1150
2017-04-15,Scarborough,youth,1854,963
2017-04-15,Scarborough,co-ed,922,1355
2017-04-15,Scarborough,family,1523,1601
2017-04-15,Etobicoke,women,1814,2217
2017-04-15,Etobicoke,men,2485,1339
2017-04-15,Etobicoke,youth,1640,619
2017-04-15,Etobicoke,co-ed,1733,2765
2017-04-15,Etobicoke,family,1522,974
2017-04-16,Toronto,women,487,2308
2017-04-16,Toronto,men,2254,2472
2017-04-16,Toronto,youth,2008,2354
2017-04-16,Toronto,co-ed,1562,2107
2017-04-16,Toronto,family,894,1268
2017-04-16,North York,women,1732,1248
2017-04-16,North York,men,1546,1605
2017-04-16,North York,youth,1965,1725
2017-04-16,North York,co-ed,1362,2011
2017-04-16,North York,family,1538,1951
2017-04-16,Scarborough,women,2006,2672
2017-04-16,Scarborough,men,1654,1188
2017-04-16,Scarborough,youth,2001,1581
2017-04-16,Scarborough,co-ed,1158,1545
2017-04-16,Scarborough,family,1576,1625
2017-04-16,Etobicoke,women,2130,1630
2017-04-16,Etobicoke,men,1136,1102
2017-04-16,Etobicoke,youth,2075,2357
2017-04-16,Etobicoke,co-ed,1442,1634
2017-04-16,Etobicoke,family,1132,1409
2017-04-17,Toronto,women,2808,3431
2017-04-17,Toronto,men,1466,874
2017-04-17,Toronto,youth,1062,2475
2017-04-17,Toronto,co-ed,1685,2354
2017-04-17,Toronto,family,1624,2646
2017-04-17,North York,women,1891,1921
2017-04-17,North York,men,2773,2221
2017-04-17,North York,youth,2082,1553
2017-04-17,North York,co-ed,1601,2787
2017-04-17,North York,family,1688,1585
2017-04-17,Scarborough,women,1717,1354
2017-04-17,Scarborough,men,1297,1789
2017-04-17,Scarborough,youth,1565,2347
2017-04-17,Scarborough,co-ed,1199,1208
2017-04-17,Scarborough,family,898,2111
2017-04-17,Etobicoke,women,1362,1804
2017-04-17,Etobicoke,men,1586,3081
2017-04-17,Etobicoke,youth,1983,1806
2017-04-17,Etobicoke,co-ed,2056,1249
2017-04-17,Etobicoke,family,1884,1412
2017-04-18,Toronto,women,986,1710
2017-04-18,Toronto,men,2209,1711
2017-04-18,Toronto,youth,1562,2791
2017-04-18,Toronto,co-ed,1907,2023
2017-04-18,Toronto,family,1047,2173
2017-04-18,North York,women,2025,2385
2017-04-18,North York,men,1588,2524
2017-04-18,North York,youth,1141,2142
2017-04-18,North York,co-ed,2261,1375
2017-04-18,North York,family,2816,1294
2017-04-18,Scarborough,women,1475,1732
2017-04-18,Scarborough,men,1818,2230
2017-04-18,Scarborough,youth,767,1767
2017-04-18,Scarborough,co-ed,1497,1721
2017-04-18,Scarborough,family,1415,2127
2017-04-18,Etobicoke,women,1373,1517
2017-04-18,Etobicoke,men,1477,1390
2017-04-18,Etobicoke,youth,1166,2209
2017-04-18,Etobicoke,co-ed,2662,1342
2017-04-18,Etobicoke,family,1930,1777
2017-04-19,Toronto,women,2228,1905
2017-04-19,Toronto,men,2030,2093
2017-04-19,Toronto,youth,1486,1759
2017-04-19,Toronto,co-ed,1796,2175
2017-04-19,Toronto,family,1526,1768
2017-04-19,North York,women,1334,1211
2017-04-19,North York,men,1472,2329
2017-04-19,North York,youth,631,2251
2017-04-19,North York,co-ed,1732,1430
2017-04-19,North York,family,2052,2359
2017-04-19,Scarborough,women,1088,893
2017-04-19,Scarborough,men,2187,1842
2017-04-19,Scarborough,youth,1322,1826
2017-04-19,Scarborough,co-ed,1337,1348
2017-04-19,Scarborough,family,2473,1607
2017-04-19,Etobicoke,women,2013,1987
2017-04-19,Etobicoke,men,1244,2273
2017-04-19,Etobicoke,youth,2211,2150
2017-04-19,Etobicoke,co-ed,1539,2530
2017-04-19,Etobicoke,family,1946,2623
2017-04-20,Toronto,women,1088,1280
2017-04-20,Toronto,men,1581,1249
2017-04-20,Toronto,youth,418,1566
2017-04-20,Toronto,co-ed,1957,1681
2017-04-20,Toronto,family,1642,1980
2017-04-20,North York,women,1480,2433
2017-04-20,North York,men,1855,2395
2017-04-20,North York,youth,1602,1788
2017-04-20,North York,co-ed,1816,1329
2017-04-20,North York,family,991,2470
2017-04-20,Scarborough,women,2106,2661
2017-04-20,Scarborough,men,623,1671
2017-04-20,Scarborough,youth,2262,1074
2017-04-20,Scarborough,co-ed,1198,2555
2017-04-20,Scarborough,family,1573,2675
2017-04-20,Etobicoke,women,1432,1517
2017-04-20,Etobicoke,men,2105,1027
2017-04-20,Etobicoke,youth,1677,1841
2017-04-20,Etobicoke,co-ed,1897,2497
2017-04-20,Etobicoke,family,1178,2410
2017-04-21,Toronto,women,1653,1646
2017-04-21,Toronto,men,1539,1203
2017-04-21,Toronto,youth,1206,1956
2017-04-21,Toronto,co-ed,1941,1429
2017-04-21,Toronto,family,1010,2614
2017-04-21,North York,women,2284,2008
2017-04-21,North York,men,150,2399
2017-04-21,North York,youth,1385,1889
2017-04-21,North York,co-ed,1932,1427
2017-04-21,North York,family,1724,2732
2017-04-21,Scarborough,women,1434,2095
2017-04-21,Scarborough,men,1974,2295
2017-04-21,Scarborough,youth,2135,1774
2017-04-21,Scarborough,co-ed,256,1314
2017-04-21,Scarborough,family,1779,1850
2017-04-21,Etobicoke,women,1496,2546
2017-04-21,Etobicoke,men,1764,2393
2017-04-21,Etobicoke,youth,2173,1484
2017-04-21,Etobicoke,co-ed,1955,2219
2017-04-21,Etobicoke,family,1695,1516
2017-04-22,Toronto,women,1834,1373
2017-04-22,Toronto,men,1771,2020
2017-04-22,Toronto,youth,1346,1358
2017-04-22,Toronto,co-ed,1665,1877
2017-04-22,Toronto,family,1921,1582
2017-04-22,North York,women,1291,1833
2017-04-22,North York,men,1443,1938
2017-04-22,North York,youth,1196,2698
2017-04-22,North York,co-ed,1594,2580
2017-04-22,North York,family,1423,2443
2017-04-22,Scarborough,women,1754,2369
2017-04-22,Scarborough,men,1216,1206
2017-04-22,Scarborough,youth,1669,1773
2017-04-22,Scarborough,co-ed,2024,1453
2017-04-22,Scarborough,family,1553,2379
2017-04-22,Etobicoke,women,1661,2289
2017-04-22,Etobicoke,men,1704,1115
2017-04-22,Etobicoke,youth,2161,1823
2017-04-22,Etobicoke,co-ed,1440,1936
2017-04-22,Etobicoke,family,1506,1229
2017-04-23,Toronto,women,1322,1739
2017-04-23,Toronto,men,362,1239
2017-04-23,Toronto,youth,2493,1881
2017-04-23,Toronto,co-ed,1288,1377
2017-04-23,Toronto,family,1956,2392
2017-04-23,North York,women,1977,2102
2017-04-23,North York,men,1407,2088
2017-04-23,North York,youth,2287,1746
2017-04-23,North York,co-ed,1940,2126
2017-04-23,North York,family,1326,1048
2017-04-23,Scarborough,women,1538,1263
2017-04-23,Scarborough,men,2443,1118
2017-04-23,Scarborough,youth,1462,1294
2017-04-23,Scarborough,co-ed,1590,1922
2017-04-23,Scarborough,family,1286,2214
2017-04-23,Etobicoke,women,2160,1421
2017-04-23,Etobicoke,men,1635,1980
2017-04-23,Etobicoke,youth,1536,1981
2017-04-23,Etobicoke,co-ed,1629,2753
2017-04-23,Etobicoke,family,1077,1875
2017-04-24,Toronto,women,1330,1610
2017-04-24,Toronto,men,1099,2119
2017-04-24,Toronto,youth,2119,2461
2017-04-24,Toronto,co-ed,1005,2423
2017-04-24,Toronto,family,1562,2146
2017-04-24,North York,women,667,1197
2017-04-24,North York,men,2270,2008
2017-04-24,North York,youth,1713,2270
2017-04-24,North York,co-ed,2182,1659
2017-04-24,North York,family,1667,1822
2017-04-24,Scarborough,women,1711,1363
2017-04-24,Scarborough,men,1930,1930
2017-04-24,Scarborough,youth,1772,2030
2017-04-24,Scarborough,co-ed,2525,1582
2017-04-24,Scarborough,family,2350,2351
2017-04-24,Etobicoke,women,1069,1767
2017-04-24,Etobicoke,men,1574,1287
2017-04-24,Etobicoke,youth,1391,1391
2017-04-24,Etobicoke,co-ed,1271,2049
2017-04-24,Etobicoke,family,817,1837
2017-04-25,Toronto,women,1314,1335
2017-04-25,Toronto,men,1778,1846
2017-04-25,Toronto,youth,1878,2035
2017-04-25,Toronto,co-ed,1746,1633
2017-04-25,Toronto,family,1332,2207
2017-04-25,North York,women,1911,2678
2017-04-25,North York,men,2093,2523
2017-04-25,North York,youth,1769,1421
2017-04-25,North York,co-ed,630,1324
2017-04-25,North York,family,1283,2173
2017-04-25,Scarborough,women,1436,2085
2017-04-25,Scarborough,men,1361,1896
2017-04-25,Scarborough,youth,2262,1703
2017-04-25,Scarborough,co-ed,1694,1761
2017-04-25,Scarborough,family,1917,2067
2017-04-25,Etobicoke,women,2048,1439
2017-04-25,Etobicoke,men,1475,1581
2017-04-25,Etobicoke,youth,1849,1180
2017-04-25,Etobicoke,co-ed,1371,952
2017-04-25,Etobicoke,family,1611,1717
2017-04-26,Toronto,women,1317,1692
2017-04-26,Toronto,men,1028,2270
2017-04-26,Toronto,youth,1150,2026
2017-04-26,Toronto,co-ed,861,1834
2017-04-26,Toronto,family,1101,2167
2017-04-26,North York,women,2144,1895
2017-04-26,North York,men,162,1746
2017-04-26,North York,youth,1278,1805
2017-04-26,North York,co-ed,1188,1444
2017-04-26,North York,family,1126,2122
2017-04-26,Scarborough,women,1331,2288
2017-04-26,Scarborough,men,1821,1730
2017-04-26,Scarborough,youth,1918,1917
2017-04-26,Scarborough,co-ed,1279,2147
2017-04-26,Scarborough,family,852,1754
2017-04-26,Etobicoke,women,1428,1686
2017-04-26,Etobicoke,men,2153,2036
2017-04-26,Etobicoke,youth,1968,1692
2017-04-26,Etobicoke,co-ed,1474,2019
2017-04-26,Etobicoke,family,652,2144
2017-04-27,Toronto,women,1739,1639
2017-04-27,Toronto,men,1834,2445
2017-04-27,Toronto,youth,2021,1351
2017-04-27,Toronto,co-ed,1323,2315
2017-04-27,Toronto,family,524,2099
2017-04-27,North York,women,1481,830
2017-04-27,North York,men,1502,2112
2017-04-27,North York,youth,2145,1773
2017-04-27,North York,co-ed,436,2119
2017-04-27,North York,family,1183,2233
2017-04-27,Scarborough,women,952,2307
2017-04-27,Scarborough,men,1977,2678
2017-04-27,Scarborough,youth,533,2288
2017-04-27,Scarborough,co-ed,1235,1578
2017-04-27,Scarborough,family,1186,1803
2017-04-27,Etobicoke,women,2514,2472
2017-04-27,Etobicoke,men,1458,1183
2017-04-27,Etobicoke,youth,2130,2233
2017-04-27,Etobicoke,co-ed,1772,1429
2017-04-27,Etobicoke,family,1668,906
2017-04-28,Toronto,women,2543,1434
2017-04-28,Toronto,men,1234,2162
2017-04-28,Toronto,youth,1863,1912
2017-04-28,Toronto,co-ed,1526,1858
2017-04-28,Toronto,family,1674,1285
2017-04-28,North York,women,1584,1348
2017-04-28,North York,men,2132,2312
2017-04-28,North York,youth,1777,1760
2017-04-28,North York,co-ed,1686,1512
2017-04-28,North York,family,1466,2812
2017-04-28,Scarborough,women,1359,2016
2017-04-28,Scarborough,men,1279,2294
2017-04-28,Scarborough,youth,818,1991
2017-04-28,Scarborough,co-ed,1918,1873
2017-04-28,Scarborough,family,1877,2209
2017-04-28,Etobicoke,women,2073,1887
2017-04-28,Etobicoke,men,1710,2054
2017-04-28,Etobicoke,youth,1733,2370
2017-04-28,Etobicoke,co-ed,1450,1305
2017-04-28,Etobicoke,family,1396,1911
2017-04-29,Toronto,women,1190,2017
2017-04-29,Toronto,men,1979,2481
2017-04-29,Toronto,youth,1823,1430
2017-04-29,Toronto,co-ed,2383,1289
2017-04-29,Toronto,family,1426,1720
2017-04-29,North York,women,2687,2345
2017-04-29,North York,men,1732,1667
2017-04-29,North York,youth,1936,2443
2017-04-29,North York,co-ed,1158,1717
2017-04-29,North York,family,1168,1036
2017-04-29,Scarborough,women,2373,2093
2017-04-29,Scarborough,men,1441,1046
2017-04-29,Scarborough,youth,1046,1312
2017-04-29,Scarborough,co-ed,1816,1887
2017-04-29,Scarborough,family,1403,1464
2017-04-29,Etobicoke,women,1206,1668
2017-04-29,Etobicoke,men,1618,2290
2017-04-29,Etobicoke,youth,1645,1666
2017-04-29,Etobicoke,co-ed,1780,2263
2017-04-29,Etobicoke,family,1009,2461
2017-04-30,Toronto,women,2285,878
2017-04-30,Toronto,men,2732,2220
2017-04-30,Toronto,youth,1148,1503
2017-04-30,Toronto,co-ed,1059,1890
2017-04-30,Toronto,family,1634,1910
2017-04-30,North York,women,1919,1446
2017-04-30,North York,men,2201,2175
2017-04-30,North York,youth,2381,1486
2017-04-30,North York,co-ed,2147,1607
2017-04-30,North York,family,1807,953
2017-04-30,Scarborough,women,1633,2550
2017-04-30,Scarborough,men,1340,2349
2017-04-30,Scarborough,youth,1269,1523
2017-04-30,Scarborough,co-ed,1548,1670
2017-04-30,Scarborough,family,2547,2732
2017-04-30,Etobicoke,women,1851,2633
2017-04-30,Etobicoke,men,1197,2678
2017-04-30,Etobicoke,youth,1428,1173
2017-04-30,Etobicoke,co-ed,2058,1874
2017-04-30,Etobicoke,family,1266,2247
2017-05-01,Toronto,women,2005,890
2017-05-01,Toronto,men,1356,2255
2017-05-01,Toronto,youth,2108,2124
2017-05-01,Toronto,co-ed,1709,1705
2017-05-01,Toronto,family,1055,1744
2017-05-01,North York,women,1825,2092
2017-05-01,North York,men,2130,1857
2017-05-01,North York,youth,1663,994
2017-05-01,North York,co-ed,1257,1429
2017-05-01,North York,family,1287,1909
2017-05-01,Scarborough,women,911,2475
2017-05-01,Scarborough,men,1293,1794
2017-05-01,Scarborough,youth,1982,2063
2017-05-01,Scarborough,co-ed,1155,1682
2017-05-01,Scarborough,family,1166,1229
2017-05-01,Etobicoke,women,1474,2896
2017-05-01,Etobicoke,men,2126,2436
2017-05-01,Etobicoke,youth,1673,1807
2017-05-01,Etobicoke,co-ed,1821,2873
2017-05-01,Etobicoke,family,1888,2328
2017-05-02,Toronto,women,1857,2597
2017-05-02,Toronto,men,1085,2096
2017-05-02,Toronto,youth,2034,1817
2017-05-02,Toronto,co-ed,1546,1471
2017-05-02,Toronto,family,1495,946
2017-05-02,North York,women,840,1750
2017-05-02,North York,men,1347,1891
2017-05-02,North York,youth,2615,2079
2017-05-02,North York,co-ed,1530,2446
2017-05-02,North York,family,1977,1888
2017-05-02,Scarborough,women,1535,1430
2017-05-02,Scarborough,men,1190,1044
2017-05-02,Scarborough,youth,2439,2234
2017-05-02,Scarborough,co-ed,988,2366
2017-05-02,Scarborough,family,1532,1192
2017-05-02,Etobicoke,women,2209,1419
2017-05-02,Etobicoke,men,1146,2074
2017-05-02,Etobicoke,youth,1746,1753
2017-05-02,Etobicoke,co-ed,1944,878
2017-05-02,Etobicoke,family,1833,1880
2017-05-03,Toronto,women,1838,1654
2017-05-03,Toronto,men,2080,1354
2017-05-03,Toronto,youth,1427,1314
2017-05-03,Toronto,co-ed,2287,1573
2017-05-03,Toronto,family,2234,2310
2017-05-03,North York,women,1778,1891
2017-05-03,North York,men,1920,1587
2017-05-03,North York,youth,2484,1866
2017-05-03,North York,co-ed,1189,1640
2017-05-03,North York,family,1107,2005
2017-05-03,Scarborough,women,1453,2361
2017-05-03,Scarborough,men,1518,1388
2017-05-03,Scarborough,youth,2065,1174
2017-05-03,Scarborough,co-ed,2191,1416
2017-05-03,Scarborough,family,1395,1690
2017-05-03,Etobicoke,women,1265,2294
2017-05-03,Etobicoke,men,1716,1857
2017-05-03,Etobicoke,youth,951,2487
2017-05-03,Etobicoke,co-ed,1074,1994
2017-05-03,Etobicoke,family,1401,2007
2017-05-04,Toronto,women,1939,1895
2017-05-04,Toronto,men,2486,2341
2017-05-04,Toronto,youth,1473,1220
2017-05-04,Toronto,co-ed,1698,1897
2017-05-04,Toronto,family,1939,1450
2017-05-04,North York,women,554,2470
2017-05-04,North York,men,1059,1987
2017-05-04,North York,youth,1592,1413
2017-05-04,North York,co-ed,1559,1244
2017-05-04,North York,family,2467,2008
2017-05-04,Scarborough,women,1931,1801
2017-05-04,Scarborough,men,1864,1837
2017-05-04,Scarborough,youth,2090,1717
2017-05-04,Scarborough,co-ed,2416,2595
2017-05-04,Scarborough,family,2744,2554
2017-05-04,Etobicoke,women,1355,2903
2017-05-04,Etobicoke,men,758,1744
2017-05-04,Etobicoke,youth,1337,2169
2017-05-04,Etobicoke,co-ed,1790,2489
2017-05-04,Etobicoke,family,1712,1929
2017-05-05,Toronto,women,1566,1946
2017-05-05,Toronto,men,1145,1206
2017-05-05,Toronto,youth,1319,1022
2017-05-05,Toronto,co-ed,975,1572
2017-05-05,Toronto,family,2298,1493
2017-05-05,North York,women,1413,1321
2017-05-05,North York,men,1272,1864
2017-05-05,North York,youth,1323,2006
2017-05-05,North York,co-ed,2202,1805
2017-05-05,North York,family,1932,2572
2017-05-05,Scarborough,women,1413,2230
2017-05-05,Scarborough,men,1680,2946
2017-05-05,Scarborough,youth,2715,2102
2017-05-05,Scarborough,co-ed,1066,1622
2017-05-05,Scarborough,family,1725,1014
2017-05-05,Etobicoke,women,997,1113
2017-05-05,Etobicoke,men,1945,2617
2017-05-05,Etobicoke,youth,2515,2109
2017-05-05,Etobicoke,co-ed,2595,1640
2017-05-05,Etobicoke,family,1618,945
2017-05-06,Toronto,women,2383,2131
2017-05-06,Toronto,men,2021,1967
2017-05-06,Toronto,youth,1655,1916
2017-05-06,Toronto,co-ed,900,2245
2017-05-06,Toronto,family,2008,937
2017-05-06,North York,women,2003,2579
2017-05-06,North York,men,2058,1628
2017-05-06,North York,youth,1174,751
2017-05-06,North York,co-ed,2565,2194
2017-05-06,North York,family,1488,2084
2017-05-06,Scarborough,women,2185,2084
2017-05-06,Scarborough,men,1132,2004
2017-05-06,Scarborough,youth,1212,2881
2017-05-06,Scarborough,co-ed,1828,1214
2017-05-06,Scarborough,family,1793,2234
2017-05-06,Etobicoke,women,1160,1104
2017-05-06,Etobicoke,men,2322,296
2017-05-06,Etobicoke,youth,2242,1714
2017-05-06,Etobicoke,co-ed,1722,1705
2017-05-06,Etobicoke,family,2325,2502
2017-05-07,Toronto,women,1814,1032
2017-05-07,Toronto,men,1524,3036
2017-05-07,Toronto,youth,1157,1788
2017-05-07,Toronto,co-ed,1690,2249
2017-05-07,Toronto,family,2091,2323
2017-05-07,North York,women,630,1903
2017-05-07,North York,men,1116,2849
2017-05-07,North York,youth,2653,1869
2017-05-07,North York,co-ed,849,246
2017-05-07,North York,family,1606,1888
2017-05-07,Scarborough,women,1228,2214
2017-05-07,Scarborough,men,1023,2235
2017-05-07,Scarborough,youth,1527,1082
2017-05-07,Scarborough,co-ed,1141,1075
2017-05-07,Scarborough,family,1664,2955
2017-05-07,Etobicoke,women,2102,1372
2017-05-07,Etobicoke,men,1835,2742
2017-05-07,Etobicoke,youth,2153,1928
2017-05-07,Etobicoke,co-ed,1176,1174
2017-05-07,Etobicoke,family,1100,933
2017-05-08,Toronto,women,2030,2734
2017-05-08,Toronto,men,1794,1940
2017-05-08,Toronto,youth,922,2373
2017-05-08,Toronto,co-ed,1813,1587
2017-05-08,Toronto,family,1698,2262
2017-05-08,North York,women,1721,1843
2017-05-08,North York,men,1564,1785
2017-05-08,North York,youth,1900,1908
2017-05-08,North York,co-ed,2229,2322
2017-05-08,North York,family,1509,1298
2017-05-08,Scarborough,women,1478,1697
2017-05-08,Scarborough,men,1358,1381
2017-05-08,Scarborough,youth,2390,1711
2017-05-08,Scarborough,co-ed,1623,2043
2017-05-08,Scarborough,family,1890,2497
2017-05-08,Etobicoke,women,1371,2072
2017-05-08,Etobicoke,men,1863,3232
2017-05-08,Etobicoke,youth,2093,1440
2017-05-08,Etobicoke,co-ed,2258,2120
2017-05-08,Etobicoke,family,1263,2093
2017-05-09,Toronto,women,2493,1646
2017-05-09,Toronto,men,1150,1609
2017-05-09,Toronto,youth,2254,1362
2017-05-09,Toronto,co-ed,1372,1625
2017-05-09,Toronto,family,1541,1813
2017-05-09,North York,women,1644,1902
2017-05-09,North York,men,1108,2504
2017-05-09,North York,youth,1919,2131
2017-05-09,North York,co-ed,2417,1932
2017-05-09,North York,family,3396,1797
2017-05-09,Scarborough,women,2190,2692
2017-05-09,Scarborough,men,2602,1902
2017-05-09,Scarborough,youth,1871,1191
2017-05-09,Scarborough,co-ed,1999,2635
2017-05-09,Scarborough,family,1291,2436
2017-05-09,Etobicoke,women,2592,2445
2017-05-09,Etobicoke,men,1466,1017
2017-05-09,Etobicoke,youth,1038,2238
2017-05-09,Etobicoke,co-ed,1796,1525
2017-05-09,Etobicoke,family,1192,1464
2017-05-10,Toronto,women,1197,1745
2017-05-10,Toronto,men,2038,613
2017-05-10,Toronto,youth,1947,1862
2017-05-10,Toronto,co-ed,1408,1376
2017-05-10,Toronto,family,1085,2014
2017-05-10,North York,women,2289,1631
2017-05-10,North York,men,1239,1079
2017-05-10,North York,youth,1664,2317
2017-05-10,North York,co-ed,2114,1893
2017-05-10,North York,family,899,2382
2017-05-10,Scarborough,women,1532,2890
2017-05-10,Scarborough,men,597,1571
2017-05-10,Scarborough,youth,2557,1771
2017-05-10,Scarborough,co-ed,2182,2250
2017-05-10,Scarborough,family,2240,1886
2017-05-10,Etobicoke,women,1593,1773
2017-05-10,Etobicoke,men,1578,1668
2017-05-10,Etobicoke,youth,1239,960
2017-05-10,Etobicoke,co-ed,1357,1223
2017-05-10,Etobicoke,family,2005,2146
2017-05-11,Toronto,women,1595,1176
2017-05-11,Toronto,men,1313,1490
2017-05-11,Toronto,youth,1061,1252
2017-05-11,Toronto,co-ed,2043,2175
2017-05-11,Toronto,family,2005,2097
2017-05-11,North York,women,1553,2257
2017-05-11,North York,men,1071,1929
2017-05-11,North York,youth,1419,2215
2017-05-11,North York,co-ed,2433,1749
2017-05-11,North York,family,1970,2057
2017-05-11,Scarborough,women,1237,2047
2017-05-11,Scarborough,men,1036,2017
2017-05-11,Scarborough,youth,2079,1492
2017-05-11,Scarborough,co-ed,733,1405
2017-05-11,Scarborough,family,2130,2559
2017-05-11,Etobicoke,women,2523,1617
2017-05-11,Etobicoke,men,1260,840
2017-05-11,Etobicoke,youth,1702,1547
2017-05-11,Etobicoke,co-ed,1519,1872
2017-05-11,Etobicoke,family,1528,2947
2017-05-12,Toronto,women,1907,1759
2017-05-12,Toronto,men,1622,2301
2017-05-12,Toronto,youth,1572,1761
2017-05-12,Toronto,co-ed,2187,2332
2017-05-12,Toronto,family,1827,1371
2017-05-12,North York,women,1789,791
2017-05-12,North York,men,1855,729
2017-05-12,North York,youth,1884,1963
2017-05-12,North York,co-ed,1163,2140
2017-05-12,North York,family,1941,1504
2017-05-12,Scarborough,women,1940,2622
2017-05-12,Scarborough,men,1567,1877
2017-05-12,Scarborough,youth,1055,2224
2017-05-12,Scarborough,co-ed,933,1670
2017-05-12,Scarborough,family,1795,916
2017-05-12,Etobicoke,women,2144,2172
2017-05-12,Etobicoke,men,1741,1274
2017-05-12,Etobicoke,youth,1123,2717
2017-05-12,Etobicoke,co-ed,1846,2252
2017-05-12,Etobicoke,family,1487,1678
2017-05-13,Toronto,women,1311,1504
2017-05-13,Toronto,men,1654,2158
2017-05-13,Toronto,youth,1072,1545
2017-05-13,Toronto,co-ed,500,2248
2017-05-13,Toronto,family,1221,1650
2017-05-13,North York,women,2072,1790
2017-05-13,North York,men,2635,711
2017-05-13,North York,youth,1857,1753
2017-05-13,North York,co-ed,2204,1861
2017-05-13,North York,family,1488,547
2017-05-13,Scarborough,women,1192,1936
2017-05-13,Scarborough,men,1537,2114
2017-05-13,Scarborough,youth,1196,1093
2017-05-13,Scarborough,co-ed,1226,2110
2017-05-13,Scarborough,family,746,1732
2017-05-13,Etobicoke,women,1515,2578
2017-05-13,Etobicoke,men,1304,1613
2017-05-13,Etobicoke,youth,1438,1916
2017-05-13,Etobicoke,co-ed,1016,1537
2017-05-13,Etobicoke,family,1746,2529
2017-05-14,Toronto,women,1266,1062
2017-05-14,Toronto,men,459,1546
2017-05-14,Toronto,youth,2197,1210
2017-05-14,Toronto,co-ed,1702,2641
2017-05-14,Toronto,family,994,1677
2017-05-14,North York,women,2008,2357
2017-05-14,North York,men,1132,2054
2017-05-14,North York,youth,1033,2444
2017-05-14,North York,co-ed,2082,1727
2017-05-14,North York,family,1640,1148
2017-05-14,Scarborough,women,479,2671
2017-05-14,Scarborough,men,1918,2394
2017-05-14,Scarborough,youth,1753,1603
2017-05-14,Scarborough,co-ed,857,2383
2017-05-14,Scarborough,family,1551,1401
2017-05-14,Etobicoke,women,1164,2703
2017-05-14,Etobicoke,men,2180,1230
2017-05-14,Etobicoke,youth,1465,2565
2017-05-14,Etobicoke,co-ed,1263,1501
2017-05-14,Etobicoke,family,2012,1299
2017-05-15,Toronto,women,2819,2207
2017-05-15,Toronto,men,663,1722
2017-05-15,Toronto,youth,1243,1560
2017-05-15,Toronto,co-ed,1592,1200
2017-05-15,Toronto,family,816,993
2017-05-15,North York,women,2609,1291
2017-05-15,North York,men,1559,2080
2017-05-15,North York,youth,1363,1619
2017-05-15,North York,co-ed,2212,2319
2017-05-15,North York,family,981,1365
2017-05-15,Scarborough,women,1042,2184
2017-05-15,Scarborough,men,1382,2357
2017-05-15,Scarborough,youth,1225,1358
2017-05-15,Scarborough,co-ed,1631,1495
2017-05-15,Scarborough,family,1613,1808
2017-05-15,Etobicoke,women,1182,2194
2017-05-15,Etobicoke,men,1612,1844
2017-05-15,Etobicoke,youth,1160,1334
2017-05-15,Etobicoke,co-ed,1646,1256
2017-05-15,Etobicoke,family,1415,1575
2017-05-16,Toronto,women,1550,1464
2017-05-16,Toronto,men,1862,1337
2017-05-16,Toronto,youth,1270,2000
2017-05-16,Toronto,co-ed,1764,1689
2017-05-16,Toronto,family,716,1376
2017-05-16,North York,women,2200,1380
2017-05-16,North York,men,1764,1309
2017-05-16,North York,youth,1114,1518
2017-05-16,North York,co-ed,1320,2102
2017-05-16,North York,family,1080,1257
2017-05-16,Scarborough,women,1832,1766
2017-05-16,Scarborough,men,2031,1837
2017-05-16,Scarborough,youth,1877,2500
2017-05-16,Scarborough,co-ed,2030,757
2017-05-16,Scarborough,family,1269,1474
2017-05-16,Etobicoke,women,856,1300
2017-05-16,Etobicoke,men,2364,667
2017-05-16,Etobicoke,youth,2188,2319
2017-05-16,Etobicoke,co-ed,1007,1855
2017-05-16,Etobicoke,family,708,1386
2017-05-17,Toronto,women,1593,2181
2017-05-17,Toronto,men,1944,1550
2017-05-17,Toronto,youth,1585,1259
2017-05-17,Toronto,co-ed,1590,2002
2017-05-17,Toronto,family,2111,2288
2017-05-17,North York,women,1853,1203
2017-05-17,North York,men,1112,1314
2017-05-17,North York,youth,2247,645
2017-05-17,North York,co-ed,2337,2286
2017-05-17,North York,family,2003,1193
2017-05-17,Scarborough,women,1208,1108
2017-05-17,Scarborough,men,1206,1565
2017-05-17,Scarborough,youth,1130,1508
2017-05-17,Scarborough,co-ed,1391,1745
2017-05-17,Scarborough,family,1594,1576
2017-05-17,Etobicoke,women,1042,2311
2017-05-17,Etobicoke,men,2077,2190
2017-05-17,Etobicoke,youth,2385,1191
2017-05-17,Etobicoke,co-ed,1630,2088
2017-05-17,Etobicoke,family,1291,1371
2017-05-18,Toronto,women,1416,2342
2017-05-18,Toronto,men,2450,1027
2017-05-18,Toronto,youth,2090,1485
2017-05-18,Toronto,co-ed,1567,1021
2017-05-18,Toronto,family,1106,1685
2017-05-18,North York,women,2180,1592
2017-05-18,North York,men,1566,1678
2017-05-18,North York,youth,1581,1494
